# Synthetic data
Ev_idn	arrival times	rcv_index	Type
3	 11.40932704	     9		S
3	 11.40048854	    10		S
3	 11.40489278	    11		S
3	 11.42071582	    12		S
3	 11.38908568	    13		S
3	 11.38584196	    14		S
3	 11.41969785	    15		S
3	 11.42111537	    16		S
4	 11.67721290	     1		P
4	 11.67902959	     2		P
4	 11.68633310	     3		P
4	 11.68816812	     4		P
4	 11.67330996	     5		P
4	 11.67228955	     6		P
4	 11.68113251	     7		P
4	 11.67492885	     8		P
4	 11.68533301	     9		P
4	 11.68944931	    10		P
4	 11.70085324	    11		P
4	 11.68261107	    12		P
4	 11.67810627	    13		P
4	 11.68346179	    14		P
4	 11.68215979	    15		P
4	 11.68436148	    16		P
4	 11.68735080	     1		S
4	 11.69086443	     2		S
4	 11.69850444	     3		S
4	 11.70299002	     4		S
4	 11.67896231	     5		S
4	 11.67566871	     6		S
4	 11.69401836	     7		S
4	 11.68112063	     8		S
4	 11.70103164	     9		S
4	 11.71485845	    10		S
4	 11.72742214	    11		S
4	 11.69355114	    12		S
4	 11.68549852	    13		S
4	 11.69797031	    14		S
4	 11.70011802	    15		S
4	 11.69954406	    16		S
5	 13.86047636	     1		P
5	 13.86723352	     2		P
5	 13.86329180	     3		P
5	 13.86414026	     4		P
5	 13.85712169	     5		P
5	 13.86706639	     6		P
5	 13.87286204	     7		P
5	 13.86616721	     8		P
5	 13.86864524	     9		P
5	 13.86700025	    10		P
5	 13.87168100	    11		P
5	 13.86930937	    12		P
5	 13.85428922	    13		P
5	 13.85467415	    14		P
5	 13.87118929	    15		P
5	 13.87326011	    16		P
5	 13.86792339	     1		S
5	 13.88210980	     2		S
5	 13.87390651	     3		S
5	 13.87441845	     4		S
5	 13.86593579	     5		S
5	 13.88146105	     6		S
5	 13.89841494	     7		S
5	 13.87750497	     8		S
5	 13.88441069	     9		S
5	 13.88386660	    10		S
5	 13.89456025	    11		S
5	 13.89074520	    12		S
5	 13.85945705	    13		S
5	 13.85965674	    14		S
5	 13.89055554	    15		S
5	 13.89030407	    16		S
6	 15.46070564	     1		P
6	 15.47042700	     2		P
6	 15.46121320	     3		P
6	 15.46264601	     4		P
6	 15.46001445	     5		P
6	 15.46667181	     6		P
6	 15.47642438	     7		P
6	 15.46563459	     8		P
6	 15.45878433	     9		P
6	 15.45563899	    10		P
6	 15.45768961	    11		P
6	 15.46549477	    12		P
6	 15.45478816	    13		P
6	 15.45429125	    14		P
6	 15.47121868	    15		P
6	 15.47406976	    16		P
6	 15.48034522	     1		S
6	 15.49375716	     2		S
6	 15.47877868	     3		S
6	 15.48234092	     4		S
6	 15.47242612	     5		S
6	 15.48931916	     6		S
6	 15.50527899	     7		S
6	 15.48689082	     8		S
6	 15.47315774	     9		S
6	 15.46761014	    10		S
6	 15.46987616	    11		S
6	 15.48914392	    12		S
6	 15.46773259	    13		S
6	 15.46497383	    14		S
6	 15.49973125	    15		S
6	 15.49997663	    16		S
7	 16.58963584	     1		P
7	 16.58541334	     2		P
7	 16.59752989	     3		P
7	 16.59764964	     4		P
7	 16.58995983	     5		P
7	 16.58296700	     6		P
7	 16.58444728	     7		P
7	 16.59092675	     8		P
7	 16.60036916	     9		P
7	 16.60977219	    10		P
7	 16.61268580	    11		P
7	 16.60019632	    12		P
7	 16.59321542	    13		P
7	 16.59671015	    14		P
7	 16.58724614	    15		P
7	 16.58931910	    16		P
7	 16.60137038	     1		S
7	 16.59098907	     2		S
7	 16.61739737	     3		S
7	 16.61418126	     4		S
7	 16.60099699	     5		S
7	 16.58876738	     6		S
7	 16.59233988	     7		S
7	 16.60203493	     8		S
7	 16.62322851	     9		S
7	 16.63233947	    10		S
7	 16.64789610	    11		S
7	 16.61523348	    12		S
7	 16.60877064	    13		S
7	 16.61492723	    14		S
7	 16.59838908	    15		S
7	 16.59945368	    16		S
8	 17.46080424	     1		P
8	 17.45547704	     2		P
8	 17.47185528	     3		P
8	 17.47260558	     4		P
8	 17.46307559	     5		P
8	 17.45661920	     6		P
8	 17.45968659	     7		P
8	 17.46396490	     8		P
8	 17.47777645	     9		P
8	 17.48167573	    10		P
8	 17.48975729	    11		P
8	 17.47208468	    12		P
8	 17.46621252	    13		P
8	 17.47057120	    14		P
8	 17.46273400	    15		P
8	 17.46161551	    16		P
8	 17.47133960	     1		S
8	 17.46116281	     2		S
8	 17.48780807	     3		S
8	 17.49212428	     4		S
8	 17.47374314	     5		S
8	 17.46173370	     6		S
8	 17.46895522	     7		S
8	 17.47668243	     8		S
8	 17.50022506	     9		S
8	 17.51617708	    10		S
8	 17.52427706	    11		S
8	 17.48962147	    12		S
8	 17.48039932	    13		S
8	 17.48481454	    14		S
8	 17.47254957	    15		S
8	 17.47272290	    16		S
9	 18.16051304	     1		P
9	 18.16178955	     2		P
9	 18.17062253	     3		P
9	 18.17087100	     4		P
9	 18.15945754	     5		P
9	 18.15743184	     6		P
9	 18.16565190	     7		P
9	 18.16298092	     8		P
9	 18.17523790	     9		P
9	 18.17980468	    10		P
9	 18.18717431	    11		P
9	 18.17142537	    12		P
9	 18.16360824	    13		P
9	 18.16762298	    14		P
9	 18.16609022	    15		P
9	 18.16629302	    16		P
9	 18.16738544	     1		S
9	 18.16707891	     2		S
9	 18.18233640	     3		S
9	 18.18742263	     4		S
9	 18.16638332	     5		S
9	 18.16135581	     6		S
9	 18.17674579	     7		S
9	 18.17138142	     8		S
9	 18.19010344	     9		S
9	 18.20464822	    10		S
9	 18.21505023	    11		S
9	 18.19101703	    12		S
9	 18.17094774	    13		S
9	 18.17961970	    14		S
9	 18.18104130	    15		S
9	 18.17920818	    16		S
10	 26.52669280	     1		P
10	 26.52821233	     2		P
10	 26.52336404	     3		P
10	 26.52318887	     4		P
10	 26.53433671	     5		P
10	 26.53602709	     6		P
10	 26.54225302	     7		P
10	 26.54192743	     8		P
10	 26.55020535	     9		P
10	 26.55349590	    10		P
10	 26.55664565	    11		P
10	 26.54768839	    12		P
10	 26.53121255	    13		P
10	 26.53015652	    14		P
10	 26.52840930	    15		P
10	 26.52659496	    16		P
10	 26.53637266	     1		S
10	 26.53646830	     2		S
10	 26.53138030	     3		S
10	 26.52779416	     4		S
10	 26.55093565	     5		S
10	 26.55321273	     6		S
10	 26.56582291	     7		S
10	 26.56045188	     8		S
10	 26.57992165	     9		S
10	 26.58745702	    10		S
10	 26.59239540	    11		S
10	 26.57817861	    12		S
10	 26.54356210	    13		S
10	 26.54163044	    14		S
10	 26.53968084	    15		S
10	 26.53502272	    16		S
